controller_on,failure,movement_enabled,success
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
True,False,True,False
